,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
s001,27,3,62,110,0,84,1,1,40000,1.0,0,3.0,1.0,1.0,2.0,1.0,1,0,0,0,0.0,1.0,0.0
s002,35,2,72,240,0,216,1,3,19500,0.0,,1.0,1.0,6.0,5.0,,3,0,0,0,0.0,3.0,0.0
s003,25,4,73,185,0,26,1,0,60000,0.0,,,1.0,3.0,1.0,1.0,1,0,0,90,0.0,1.0,0.0
s004,35,4,71,190,0,36,3,0,81000,0.0,,,1.0,3.0,3.0,,0,0,0,0,0.0,0.0,0.0
s005,36,3,76,175,0,18,5,0,36000,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0.0,3.0,5.0
s006,33,5,60,130,0,144,3,3,100000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0
s007,32,3,64,130,0,84,3,3,98000,0.0,,1.0,1.0,1.0,3.0,,0,0,0,0,0.0,3.0,0.0
s008,32,4,66,275,0,156,2,0,80000,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,6,100,0.0,2.0,0.0
s009,26,4,72,244,0,17,3,0,8000,0.0,,1.0,1.0,4.0,1.0,1.0,1,2,0,0,0.0,0.0,0.0
s010,44,4,72,165,0,12,4,0,39000,0.0,,1.0,1.0,4.0,4.0,1.0,0,0,1,0,0.0,0.0,0.0
s011,27,3,72,320,1,65,3,0,25000,0.0,0,,,4.0,1.0,5.0,0,0,2,160,0.0,0.0,0.0
s012,36,3,68,268,0,144,4,4,40000,0.0,,1.0,1.0,4.0,1.0,,1,0,0,200,0.0,2.0,0.0
s013,50,3,61,145,0,228,5,0,70000,1.0,75,5.0,1.0,1.0,4.0,4.0,3,1,3,0,0.0,4.0,0.0
s014,28,1,68,240,0,100,2,1,15000,0.0,0,,,,,,0,0,4,120,0.0,0.0,0.0
s015,27,2,75,200,0,36,3,0,24000,1.0,0,1.0,1.0,1.0,1.0,,0,1,1,400,0.0,0.0,0.0
s016,20,3,62,107,0,0,0,0,125000,0.0,,,1.0,3.0,1.0,,1,0,0,0,0.0,0.0,0.0
s017,31,4,69,180,0,36,5,0,45000,1.0,90,1.0,4.0,1.0,1.0,,3,1,0,0,0.0,0.0,0.0
s018,34,6,72,200,0,8,3,4,25000,0.0,,6.0,1.0,7.0,1.0,,2,0,1,0,0.0,0.0,1.0
s019,32,2,55,130,0,170,2,4,65000,0.0,,1.0,7.0,7.0,7.0,3.0,0,0,2,0,0.0,0.0,1.0
s020,25,4,75,315,0,4,2,0,45000,0.0,,5.0,1.0,7.0,2.0,1.0,2,0,2,200,0.0,0.0,0.0
s021,40,2,65,235,0,15,3,0,8000,0.0,,1.0,2.0,1.0,3.0,,0,5,2,0,0.0,1.0,0.0
s023,46,2,70,200,0,81,5,0,17000,0.0,,5.0,1.0,1.0,1.0,1.0,1,7,0,0,0.0,0.0,2.0
s025,39,4,70,168,2,70,5,0,24000,0.0,,1.0,1.0,6.0,2.0,,0,0,0,0,0.0,5.0,0.0
s026,38,4,71,195,0,48,5,0,30000,0.0,0,1.0,7.0,1.0,1.0,1.0,0,0,0,0,0.0,2.0,0.0
s027,30,3,73,210,0,60,2,0,15000,0.0,,1.0,1.0,1.0,1.0,1.0,2,1,0,0,0.0,2.0,0.0
s028,31,4,66,20,0,48,5,4,35000,1.0,,1.0,4.0,4.0,3.0,,2,0,0,0,0.0,2.0,0.0
s029,22,4,65,120,0,2,1,0,40000,0.0,,,,,,,0,0,0,0,0.0,0.0,0.0
s030,27,4,70,155,0,26,5,0,33000,0.0,,1.0,1.0,1.0,2.0,1.0,0,0,0,0,0.0,0.0,0.0
s031,34,4,71,173,0,96,5,2,180000,1.0,35,,,,,,1,0,0,10,0.0,2.0,0.0
s032,38,3,73,240,1,146,6,1,78000,1.0,25,7.0,1.0,1.0,1.0,,2,0,2,0,0.0,2.0,0.0
s033,46,3,70,140,1,84,4,0,40000,0.0,,1.0,1.0,2.0,1.0,1.0,0,1,1,0,0.0,1.0,2.0
s034,28,3,61,199,0,88,5,1,35000,1.0,0,1.0,1.0,3.0,1.0,,1,0,0,0,0.0,1.0,0.0
s035,27,4,65,105,0,67,3,0,69000,1.0,80,1.0,1.0,1.0,2.0,,0,1,0,0,0.0,3.0,0.0
s036,29,5,75,200,0,58,3,0,50000,1.0,20,1.0,3.0,4.0,2.0,5.0,3,0,0,100,0.0,0.0,0.0
s037,57,2,66,180,2,120,5,2,40000,0.0,,,1.0,1.0,3.0,,1,0,1,0,0.0,0.0,0.0
s038,32,3,67,120,0,96,3,0,105000,0.0,,7.0,1.0,1.0,1.0,,0,1,1,0,0.0,0.0,0.0
s039,40,4,69,248,0,264,2,1,149000,1.0,10,,,1.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0
s040,49,3,70,190,0,264,3,2,90000,0.0,,8.0,3.0,5.0,4.0,,0,1,0,20,0.0,3.0,2.0
s041,34,2,65,130,1,85,3,1,5800,0.0,,1.0,7.0,1.0,1.0,1.0,0,0,1,0,0.0,0.0,0.0
s042,28,4,65,125,0,36,2,0,49000,0.0,,1.0,1.0,1.0,1.0,2.0,0,0,0,0,0.0,1.0,0.0
s043,41,3,71,265,0,48,6,0,50000,0.0,,1.0,1.0,4.0,1.0,1.0,1,2,0,0,0.0,4.0,2.0
s044,36,3,62,170,0,132,3,2,55000,0.0,,5.0,3.0,1.0,1.0,,1,0,1,0,0.0,1.0,0.0
s046,25,4,73,245,0,4,2,0,95000,0.0,,7.0,1.0,1.0,1.0,,0,0,0,600,0.0,1.0,0.0
s047,26,4,70,150,0,60,3,0,45000,0.0,,1.0,4.0,1.0,2.0,,0,0,0,0,1.0,0.0,0.0
s048,25,3,70,160,0,0,0,0,33000,0.0,,1.0,1.0,1.0,1.0,,0,0,1,0,0.0,0.0,0.0
s049,59,2,66,175,0,300,1,2,98000,0.0,,,4.0,1.0,2.0,,2,0,1,0,0.0,0.0,0.0
s051,30,3,70,200,0,25,4,0,27888,0.0,,1.0,1.0,3.0,3.0,1.0,0,0,0,0,0.0,3.0,1.0
s052,50,3,65,150,1,81,6,1,42500,0.0,,2.0,3.0,4.0,2.0,,0,0,5,0,0.0,4.0,0.0
s053,44,3,72,190,0,242,5,2,144000,1.0,50,8.0,4.0,1.0,6.0,1.0,0,0,1,200,0.0,1.0,0.0
s054,23,3,66,130,0,12,2,0,18000,0.0,,1.0,1.0,1.0,2.0,1.0,0,0,0,0,0.0,3.0,0.0
s055,52,3,76,180,1,3,6,0,15000,0.0,0,1.0,1.0,1.0,4.0,1.0,0,2,1,250,0.0,0.0,1.0
s056,48,3,76,200,0,120,5,0,48000,1.0,70,1.0,1.0,1.0,4.0,1.0,0,0,1,0,0.0,2.0,0.0
s057,28,4,65,135,0,36,4,0,50000,0.0,,1.0,1.0,1.0,1.0,1.0,2,1,0,0,0.0,0.0,0.0
s058,34,4,59,135,0,0,0,0,40000,1.0,85,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0
