,NBHD,NBHDL,NBHN,NBHT,NBMEANLD,ARTKCLCK,angling_risk_task_always_sunny.keep_coef_of_variation,ARTKSCOR,ARTRCLCK,angling_risk_task_always_sunny.release_coef_of_variation,ARTRSCOR,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDL,BITIHDM,BITIHDS,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,GNGBIAS,GNGDRPIM,HIRSCOR,HLTBETA,HLTPROBW,HLTRSKAV,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,KRBPCTP,KRBPCTPL,KRBPCTPM,KRBPCTPS,LOGCONHD,LOGGBHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MOSSSRT,MOSHD,MOSHN,MOSHT,motor_selective_stop_signal.proactive_control_hddm_drift,motor_selective_stop_signal.reactive_control_hddm_drift,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SHFTLTL,SHFTBETA,SHFTMDCY,SHFTMLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHT,stim_selective_stop_signal.reactive_control_hddm_drift,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,stop_signal.proactive_slowing_hddm_drift,stop_signal.proactive_slowing_hddm_thresh,STRHD,STRHN,STRHT,STRSTRHD,32CSCHD,32HD,32HN,32HT,32TSCHD,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,WRTNEUPR,WRTPOSPR
s001,,,,,,24.25,8.0516425261,446,17.0909090909,8.0172973175,357,-0.5587645171,-0.9296013644,2.9344013598000003,0.3483763218,1.9646934321,-0.7998558198000001,0.0017730443,0.1365273438,0.1463964844,2.7514829193,0.33823501370000003,1.7451969364000002,0.1666666667,0.1666666667,17.9166666667,0.15,0,0.0033333333,0.1666666667,8.1666666667,0.1357052897,1.0,-0.011360201499999998,-1.260495382,0.08847345940000001,0.8013012034999999,6.3,5.9,1.6056408485,0.4841313996,1.7694180900999998,-0.7102074609000001,,-2.4545164418,-2.8178311308999997,-0.6596704795,2.2968937812,1.8606349883,0.0416815202,2.2142839233,-0.6331575077,2.7534345291,216.0,7.6113128603,0.7339492028,0.37525354829999996,7,,,,,,0.25,0.06403124240000001,0.158113883,0.11111111109999999,0.0,0.22222222219999999,0.11111111109999999,-0.6720880847,-0.0436423949,0.5114210986000001,0.1883913136,1.8928906940999999,-0.2263395944,,,,,,,,,0.5881390185,2,0.7088830884,0.0905894986,2.3048279657,-0.1529349339,1.4081899241,0.4128453057,1.4656198571,-1.3406264347,0.4,0.0403965643,-0.0054075897,6.2080558765,0.7236928772,0.28903248379999996,2.4752243998,0.2654367559,1.6834525505000002,-0.4237111439,338.0,3.6,4.4,337.8333333333,1.6585058639,0.1179211915,2.1479318827,-0.2070163595,284.8333333333,271.5,2.2843121753999998,0.3896251263,1.8884146846,-13.333333333299999,0.430236115,0.7011934527,1.7081836802,0.3424637286,1.7306013671,-0.9100931420999999,-0.08652803419999999,0.4970335699,0.0289310147,1.8307683688,0.0695726504,2824.1761904761997,24,4,3134.4166666666997,,,,0.2017943997,0.1896494268
s002,1.187554488,-0.410071846,0.09057345609999999,1.8637493552000002,1.2,20.2608695652,17.1840766443,453,13.0,6.228964601,325,-0.1897573557,-1.0190502445,4.047075431000001,0.39975580689999995,2.9513337017000003,-0.8287053073,0.029923370100000006,0.1478212891,0.0556884766,3.5485475938,0.2589855914,1.629837758,0.1666666667,0.1666666667,11.75,-0.0666666667,0,-1.0408340860000002e-17,-2.25,8.0833333333,0.0377623846,0.0,-0.0018228379999999998,0.33501259450000004,0.1387440396,0.4324047369,8.0,10.3,1.3769907205,0.5226973309,2.2001808562000003,-0.5378207946,,-1.5353751153,0.4298019732,0.33223158610000003,4.6556717651,2.1191549418,0.1356984917,2.3178085194,-1.0705413209999999,3.8243251091,111.0,59.8991114415,-8.5507035957,0.8568707964000001,6,0.7541481018,0.0017554870999999998,0.7393355608000001,0.0013716979000000002,0.5277777778,0.06403124240000001,0.158113883,0.0256124969,0.22222222219999999,0.22222222219999999,0.11111111109999999,0.33333333330000003,-0.7886815860999999,0.7624636305,0.6271180230000001,0.0383684256,2.2000255473,-0.3326434689,,,,,,,,,0.5320132074,4,1.296872437,0.6326587883,1.9858661813999998,-0.38390379469999997,2.8603199039,0.5004529357,1.7866997611000002,-1.69732214,,,,,,,2.4185630766,0.388862283,1.4628960748,-0.8362982724,351.5,4.8,6.1,291.3333333333,2.4488066805,0.42537312479999995,1.388447604,-0.48982541799999996,292.5,323.6666666667,2.2592058106,0.379459658,1.5921579162,31.1666666667,0.052516185599999994,0.6894747256999999,3.0891529714,0.3378070003,2.4905689134999998,-0.9020643695999999,-0.2089218463,0.8103174286,0.0993469424,2.4852482672,-0.1889329512,1795.1016666667,8,8,3727.25,-0.3938309089,-0.122940215,-0.8956231894000001,0.8172749921,0.1922162034
s003,2.2156799624000003,-0.7265429873,0.025633643900000003,2.150398772,1.45,13.08,5.9924953065999995,319,10.0869565217,5.2562780081,217,-0.43026823119999996,-0.8912887923999999,2.2431103026,0.3240810308,1.6345619703,-0.43988764909999994,0.0002216143,0.0007892875999999999,0.0018320313,3.1389198105,0.2033319333,1.6228297009,0.6666666667000001,0.33333333330000003,16.25,-0.0166666667,1,-0.0003333333,-1.5833333333,5.3333333333,0.031863979800000004,1.0,-0.0031998321,-3.1404282116,0.4673459605,-0.046718460100000005,6.9,3.1,0.5609720923,0.0382037796,1.8400266044999998,-0.0362389448,0.8888888889000001,,,,,-0.5986142839,0.0032422824,1.5705631392,-0.5132470021000001,1.8358498131999998,105.0,1.2928725743,0.514558072,0.043806033099999996,4,0.5886491417999999,0.0013858486999999999,0.8592735291,0.0019867858,0.4166666667,0.0002011893,0.0002011893,0.0002011893,0.9259259259,0.8888888889000001,0.8888888889000001,1.0,-1.4491667352000002,-0.9006680965,1.8816475200999998,0.3228024801,1.21681476,-0.246718117,332.6666666667,2.7687829118000002,0.3031239291,1.1842630123,-0.6910760210000001,-0.34875881909999995,,,0.3953975333,3,0.6848605790000001,0.2250940038,1.9024675215,-0.06022495519999999,1.0323184103,0.3203066442,1.4306016025,-1.2816423874,0.31940298510000004,0.0193890337,0.0002398116,0.5294651129,0.0022588355,0.060134494299999994,1.5858310493,0.25087841720000004,1.2342470079999999,-0.1333901253,396.5,6.6,5.2,402.1666666667,2.292594235,0.2846824784,1.4550690922999998,-1.0570413197,,,,,,,,,2.7861908497,0.2612978353,2.0440904259,-0.9639102931,-0.23231706489999998,0.9959664698,0.1034676016,1.9375185041999998,-0.2694540272,1718.2111904762,12,5,3925.5454545455,,,,0.4123381903,0.2319574599
s004,2.0659063179,-0.5075486040999999,0.0376274914,2.3854021358,2.35,13.4642857143,2.9373979775,366,8.9285714286,2.2596061838,239,-0.4852130168,-1.0325805359,5.8406260999,0.33581650560000004,4.4433322489,-1.0921110054,0.00033947169999999996,0.0020826111,0.0805605469,6.406638224500001,0.3258030118,1.6651510278,0.6666666667000001,0.1666666667,5.375,0.0375,2,-0.0055000000000000005,-1.2083333333,8.2916666667,0.0354738155,2.0,-0.006064837900000001,-2.2755610973,-0.33844394409999995,0.30778027950000003,8.7,6.9,2.8472574818000003,0.4588325821,2.0896541655000003,-0.5291268942,,0.6872592383,2.4191463868,0.0,5.320134937200001,3.6683408509,0.17157500990000002,3.0779305973000004,-0.5402436899,4.8849203713,185.0,7.6113128603,0.7339492028,0.37525354829999996,7,0.86980896,0.0019608739,0.8949951172,0.0023698618000000003,0.7222222222,0.009797959,0.06403124240000001,0.06403124240000001,0.2962962963,0.44444444439999997,0.22222222219999999,0.22222222219999999,-0.8692170156999999,-0.31083899930000003,1.9802609306,0.4803931278,2.242447561,-0.3407947975,231.8333333333,4.9780358037,0.1975661875,4.1102851391,-3.1894791556,-0.2510074187,7.2530358813,-4.9340587202999995,0.49854901380000005,9,1.9734868674,0.553192542,2.2262356759,-0.4039793229,4.1335547431,0.4289472035,2.6486589978,-2.3723309829,0.4170731707,-0.0253995112,-0.00026377350000000003,2.9724652827999996,0.6528968470000001,0.3871173189,5.4390257728,0.2955211336,1.7041635082000002,-1.4820666388,304.0,6.4,5.6,282.0,3.1209791373,0.3325378482,2.7536663523000002,-0.6593371696,248.0,281.5,5.2831561283,0.311659839,4.490304149,33.5,-0.186394824,0.703749625,4.3201681911000005,0.36663848229999996,3.4431905881,-0.9941576839,-0.2539835586,3.1643971725,0.3301778929,1.9463273406000001,-0.1791827782,2051.79375,8,7,3805.75,-0.4174538686,-0.0833700656,-0.5915115293000001,0.8881223547,0.2568828541
s005,3.2219459607,-1.2353535205,0.2858001018,1.5802757936,1.65,36.3636363636,13.1458682792,750,30.5,10.6251934967,580,-0.2386050452,-0.8756574645,4.6880815201,0.31562606519999997,2.8005005807,-0.6367930052,0.000525995,0.0041643982,0.0276582031,4.6432531832,0.28987532450000003,1.8530296186000002,0.8333333333,0.1666666667,13.416666666700001,0.275,3,-0.030666666699999998,-2.9166666667000003,13.041666666700001,0.4185577722,3.0,-0.0250756442,-3.7905236907999997,0.2518581217,1.2169609029000001,9.2,8.0,0.9225084845999999,0.508567431,1.4877112640999999,-0.8384178165999999,0.1666666667,0.823035159,1.3286853978,-0.3884511935,3.7790742791,2.2421697068,0.2772592012,1.4078431576,-0.5306698657,2.9584098130000003,174.0,59.8991114415,-8.5507035957,0.8568707964000001,6,0.7475608826000001,0.0009119887,0.9208297729000001,0.001067059,0.5555555556,0.0256124969,0.0256124969,0.06403124240000001,0.2962962963,0.33333333330000003,0.33333333330000003,0.22222222219999999,-1.0230279236,-0.34270658979999996,2.6380349743,0.4417713786,2.2031196901,-0.40718525479999995,344.1666666667,3.1627641757,0.33918839450000005,1.3157218276,-1.6652451629,-0.34590420650000003,,,0.6320956121,14,1.8841434459,0.4898497802,1.9390455588,-0.40714050119999995,3.4031935044,0.36006322520000006,3.3940736433,-0.7920240360999999,0.4711779449,0.044494934900000005,-0.0003892653,3.7528587483,0.6496121970000001,0.33907807640000004,3.4125995318999998,0.2732492438,2.1606167319,-0.32635937060000003,302.5,6.5,5.1,432.6666666667,2.5455063204,0.31258909020000003,1.6549580157,-0.6135537459,249.6666666667,302.5,3.3537088563,0.3666391086,1.5525369579,52.8333333333,-0.5274789548000001,0.20127146350000003,4.6454388612,0.2855291085,2.7520885405,-0.861271144,-0.1833372782,1.8635204883,0.34762344289999997,1.5102835265,-0.4059441784,1915.6111111111,19,7,2585.75,0.6655376583,0.1035568902,1.3551677415999999,0.8868519986000001,0.4059011843
s006,2.1761419795,-0.8069232216000001,0.06844454800000001,2.3801824270000003,1.4,43.3333333333,24.4996998781,736,32.7083333333,8.8390397209,750,-0.4721389443,-1.2374228945,2.7379633077000003,0.33735253649999997,1.5920604015000002,-1.0540305253,7.0924e-06,6.784529999999999e-05,29.632732421900002,2.5084785285,0.28969023650000003,1.2437695059,0.1666666667,0.8333333333,19.5833333333,-0.0166666667,1,0.0006666667,1.0,28.217391304299998,-0.1839181287,2.0,0.0043567251,-2.6725146199000003,-0.0113190347,-0.012737079299999999,8.5,8.5,1.3090526623,0.4147031961,1.569527479,-0.5395564702000001,,-2.0348321486,-1.646719289,-0.6556403265,2.6602601534,1.6789653642,0.0082623238,2.1961108098,-0.7717910818000001,3.4406522452,139.0,-31.14061609,1.0049891498999999,0.2733471749,0,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,0.25,0.25,0.25,0.037037037,0.0,0.11111111109999999,0.0,-0.9771218873,-0.2877753107,1.5738903432,0.38317890979999997,1.7885363309,-0.4357699330000001,,,,,,,,,0.40319981950000006,4,0.8962262091000001,0.5154042717,1.8982801876,-0.1605874074,1.9999958459,0.3914196525,1.6193497369999998,-0.545750654,0.4894179894,0.0182152808,0.0031632375,10.847181702,0.4657821625,0.1220292665,1.5620636165,0.2779922574,1.6308467616,-0.5332795365,341.5,5.3,4.9,,,,,,335.1666666667,386.6666666667,1.3455466346,0.1186605008,1.9480695643000001,51.5,0.2740290453,0.1491106402,2.2918709311,0.28564920180000003,2.3230966893000002,-0.8526464277,-0.1133632831,1.1050992317000001,0.17499031199999998,1.9982673317,-0.0525482128,2209.1783333333,21,4,3224.1666666666997,-0.1769210307,0.21205835899999997,-0.4500278035,0.8338361601000001,0.4540214179
s007,,,,,,19.0769230769,6.3240687974,470,14.8,7.6865683717,340,-0.1569554055,-0.7406774934,1.9849355572,0.3583669581,1.8619335275,-0.32761798070000003,0.0005751163,0.0008470039,0.0081005859,2.957418047,0.33656384479999996,1.5006737105,0.1666666667,0.6666666667000001,4.8333333333,0.033333333300000004,0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1.0,-0.0035254237,0.8082499489,0.42950206399999996,0.5991357069000001,9.6,6.4,,,,,0.3611111111,-0.7224910561,-0.6916750664,-0.5694639092,2.4879073189,1.4183035434,0.0073039587,2.4547944503,-0.7539398562999999,2.6397773564,98.0,25.7627506452,0.9984046206999999,0.3968411315,9,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,0.06403124240000001,0.06403124240000001,0.0256124969,0.2592592593,0.22222222219999999,0.22222222219999999,0.33333333330000003,-1.2969105727,-0.0654630269,1.0036962042,0.4219556757,1.6280367988999997,-0.2494007905,,,,,,,8.6329234757,-8.637205744700001,0.5112262406,10,1.1088650771,0.6256111094,2.3448289382,-0.3709801145,2.1878737224,0.5067662782,1.7725488565,-1.4090511478,0.3291457286,0.0048551335999999995,0.0016277797,48.5691147644,0.34075974330000003,0.017106545,3.099471623,0.34063608440000004,1.5194009819999998,-0.6504755013,517.0,5.1,5.4,395.8333333333,1.5043430639,0.5216154277,1.5331622262,-0.3857202127,357.1666666667,439.0,1.8862597221,0.3968554838,1.4531623678,81.8333333333,-0.0651687148,0.0390432528,1.8524860688,0.5140717127000001,2.0241798015,-0.6720965806,-0.16017495029999998,0.4417057924,0.012305941599999998,2.0461499936000003,-0.34787393640000003,2282.5555555555998,-5,8,6112.166666666701,,,,0.8621573749,0.6821860019
s008,2.0274562918,-0.5250663819,0.08954774609999999,1.6634018924,1.4,27.2916666667,5.1201152048,628,17.5,3.1446603774,470,-0.26882669940000004,-0.9944600428,3.0093084561000003,0.3997065773,1.4805519568,-0.6454754404,0.0005160176999999999,0.0046499634,0.051495117199999996,2.6223497736000003,0.2484362748,1.1076216525,0.6666666667000001,0.1666666667,16.7083333333,0.2375,3,-0.0048333333,-2.625,15.0,0.3832153691,3.0,-0.007389282099999999,-3.0165824065,0.0509474165,0.050034244000000005,7.9,7.4,0.7874997463000001,0.1349905453,1.9866699636,-0.4013215891,0.25,-1.4105451930000001,0.5118471497,0.1954308362,4.9292732649,2.6332494887,0.0569362987,2.6770853233,-0.5306698657,2.9584098130000003,230.0,7.6113128603,0.7339492028,0.37525354829999996,7,0.6793907165999999,0.0020733036,0.8077308655000001,0.001848518,0.5555555556,0.009797959,0.009797959,0.0256124969,0.4074074074,0.44444444439999997,0.44444444439999997,0.33333333330000003,-1.2496345991,0.049685292199999995,1.304349246,0.3339984821,1.3308192166,-0.2018441125,,,,,,,,,0.2881595819,10,1.125636579,0.4095728271,1.6478422276,0.1078886401,2.8635997449,0.3773670799,1.358092108,-1.7208909861,0.34526854220000003,0.054051663099999994,0.0021043054,1.0,0.0,0.1,2.5567490381,0.2657460815,1.3082085473,-0.7439420988000001,351.0,7.5,5.5,361.1666666667,2.0286217287,0.3075744187,1.2454437809999999,-0.5122076862,309.8333333333,362.6666666667,1.6373826739,0.28332691520000003,1.2321488303,52.8333333333,0.027429990499999998,0.2486965801,1.7948313534,0.30495829809999997,1.7093208763999999,-1.2179821838,-0.220960364,0.9036950509,0.0316705588,1.8340606025,-0.2291007596,1888.6402777778,9,10,3792.25,-0.2893727689,-0.6226293107,-0.4392581724,0.1564823131,0.15071143369999998
s009,3.0970605445999997,-0.5486772343999999,0.2299023514,1.3427282396,2.7,28.2608695652,5.1364773152,615,19.1304347826,3.8999341233,420,-0.27794464609999997,-0.5728704276000001,3.3015766522,0.292945196,1.7459494047000002,-0.7537080181,0.0005145001999999999,0.0019907760999999997,0.0101464844,3.1284280599,0.2597757354,1.189790614,0.8333333333,0.0,13.708333333299999,0.4208333333,2,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2.0,-0.0049527187,-2.4048463357,0.1593423691,1.1747285803,6.8,4.8,2.2930072409999998,0.4373571403,1.8944338549000002,-0.0538824145,0.7222222222,-3.5513894085000004,-1.6405406377,-0.5814270014,3.3843972360000003,3.163338477,0.1864257216,1.302895473,-0.7017421781000001,4.5619233948,222.0,25.7627506452,0.9984046206999999,0.3968411315,9,0.6171309948,0.0017705286000000004,0.985546875,0.0028862039000000003,0.7222222222,0.0038729833,0.0004,0.009797959,0.5925925926,0.5555555556,0.7777777778,0.44444444439999997,-1.2292233558,0.1387597893,2.478378635,0.38177986469999997,2.1013699178,-0.20507912379999998,199.3333333333,2.5874751119,0.33936147580000003,1.6723654662,-0.5938594967,-0.1102776459,-8.3796570589,14.6540357529,0.6676807246,6,1.2948427386,0.4862638407,2.01770054,-0.5137264593,3.300868631,0.3462925324,1.5985183881,-1.3978101498,0.6073170732000001,0.1462469851,-1.30054e-05,6.937524599700001,0.6969871790000001,0.2420927697,5.1818480578,0.2494191042,1.5807747326,-0.46860107869999995,268.0,6.8,6.4,225.1666666667,1.1274627297,0.36440688090000006,1.5106608239,-0.36311479119999995,186.5,206.5,3.347957322,0.3142717439,2.7181765261,20.0,0.1853209948,-0.0784144692,3.1034274968,0.3401108224,2.8683643143,-0.8221880878000001,-0.2985729378,2.5852188173,0.31822282329999996,1.7448687731,-0.34113348320000003,1251.3159722222001,5,11,3222.6666666666997,-0.8205932872,0.12936111420000002,-0.4664523296,0.1779068063,0.45563800509999997
s010,1.9077068976,-0.1629145411,0.0238665093,2.1715931601,3.75,43.1578947368,6.6102879236000005,769,23.1111111111,11.8316071649,394,-0.3354784934,-0.9781334317,4.365562846,0.3078519925,2.8252236012000003,-0.7988492669,0.0024217909,0.0040831299,0.030631835899999998,2.9585201356999997,0.33830342049999995,1.8065875194,0.8333333333,0.1666666667,8.625,0.1375,3,-0.0098333333,-2.375,7.5,0.1920833333,3.0,-0.0077833333,-2.6541666666999997,-0.0795726653,0.5786209861,7.3,4.9,1.8830159953999999,0.4360500623,1.8341814933,-0.5965972606000001,0.1388888889,-1.263773225,-0.9229208998,-0.3719338943,3.8121088774,2.6419473562999998,0.1064993182,2.8580080607,-1.0437196498999999,2.8967951088999997,129.0,46.062695462700006,1.000384038,0.8291899447000001,10,0.6569755554000001,0.001814584,0.948046875,0.0022854762,0.4722222222,0.0636371852,0.06403124240000001,0.06403124240000001,0.22222222219999999,0.22222222219999999,0.22222222219999999,0.22222222219999999,-1.0625653865,-0.33663827009999997,2.271105732,0.3601008639,1.9908327241,-0.32129593170000004,402.5,3.4144907669,0.19789256449999998,2.4651603881,-0.1820711263,-0.6503258218,77.0936888722,-65.0831765259,0.6504249145000001,13,1.5231859091,0.2985543291,2.6458771166,-0.25618933309999997,3.1772894372000002,0.3984628102,2.7276212966,-0.8586042770000001,0.4074074074,0.0208896904,0.0024086885,13.584971252799999,0.6649905688000001,0.037744872799999996,3.1391710559,0.20312537809999998,2.0016881864,-0.4058199302,334.0,7.8,6.3,333.1666666667,3.1683381139,0.3338942964,2.6707891264,-0.5162655565000001,,,,,,,,,2.8677033828000003,0.37499986259999996,1.7874589985,-1.6154776312999999,-0.1596531574,1.2457497274,0.0798876167,2.3337211675,-0.0450433872,1588.0909090909,7,10,2708.75,,,,0.9126913795,0.1322771081
