,Sex,Age,Race,OtherRace,HispanicLatino,HighestEducation,HeightInches,WeightPounds,RelationshipStatus,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,RentOwn,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtSources,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,GamblingProblem,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,MotivationForParticipation,MotivationOther
A133QG754CGS3I,0,37,White,,1,3,74,225,1,0,24,3,0,75000,0.0,,1,4.0,3.0,1.0,1.0,,1.0,3,0,0,15,0,0,1,0,money,
A13OOAT2ORKH6V,0,30,Other,Hispanic,1,4,66,135,1,0,6,2,0,90000,0.0,0,0,1.0,1.0,1.0,3.0,,,1,1,2,100,0,0,0,0,money,
A15V8K8M4TXT9Y,0,30,Chinese,,0,4,70,150,1,0,6,2,0,44000,1.0,70,0,1.0,1.0,1.0,3.0,None,,0,1,0,0,0,0,1,0,money,
A16KDMZ7CEDHNV,1,50,White,,0,4,65,240,1,1,240,1,3,65000,0.0,0,0,1.0,1.0,1.0,5.0,,1.0,0,0,0,200,0,0,4,0,money,
A17GH7I35D6K03,0,26,White,,0,2,72,150,1,0,24,5,0,25000,0.0,,0,1.0,1.0,1.0,1.0,,,2,0,2,0,0,0,1,1,money,
A19F72FI7KBTAT,1,34,White,,0,4,66,175,3,1,36,5,2,63000,1.0,0,1,6.0,1.0,5.0,2.0,,,0,1,0,0,0,0,5,2,money,
A1BEYZ1LAFOJ2C,1,35,White,,0,2,69,140,1,0,36,4,1,52000,0.0,,1,7.0,5.0,1.0,3.0,,,2,0,2,500,0,2,2,0,tasks are fun,
A1DABMXVWWL0TR,1,40,White,,0,3,66,140,2,0,180,3,1,40000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,2,0,1,0,0,0,2,2,money,
A1ER8K8UM70Y7T,1,35,White,,0,4,64,190,2,0,108,3,2,60000,0.0,,1,7.0,4.0,1.0,4.0,,,1,6,0,0,0,0,4,0,money,
A1GKTC682SWY23,1,28,White,,0,3,69,200,3,0,48,4,2,65000,0.0,,1,5.0,1.0,2.0,1.0,,1.0,0,0,1,30,2,0,1,0,money,
A1GMJZUQ8Q7053,0,23,White,,0,4,70,150,1,0,44,2,0,68000,0.0,,0,3.0,1.0,2.0,2.0,,,0,1,0,0,0,1,0,0,money,
A1JVO7FLPATHUB,0,24,White,,0,3,71,160,1,0,4,2,0,50000,0.0,,1,1.0,1.0,3.0,1.0,n/a,,0,0,0,0,0,0,0,0,money,
A1M13LVFQNRQ5,0,20, Black or African American,,0,3,178,150,1,0,3,1,0,50000,0.0,,0,1.0,1.0,1.0,1.0,None,1.0,3,0,5,60,0,0,0,0,money,
A1ME089VLGOBBI,0,26,White,,1,4,75,190,1,0,12,2,0,25000,1.0,90,1,1.0,1.0,1.0,1.0,,1.0,0,0,0,0,1,0,0,0,money,I would just say I am not working. I like cognative type of tasks so figured it would be a fun goal to have for the week. 
A1PT63J40GNSZF,0,25,White,,0,4,68,155,3,0,38,4,0,55000,1.0,25,0,1.0,1.0,4.0,1.0,,,0,0,0,400,0,0,1,0,money,
