,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
A133QG754CGS3I,37,3,74,225,0,24,3,0,75000,0.0,,4.0,3.0,1.0,1.0,1.0,3,0,0,15,0,1,0
A13OOAT2ORKH6V,30,4,66,135,0,6,2,0,90000,0.0,0,1.0,1.0,1.0,3.0,,1,1,2,100,0,0,0
A15V8K8M4TXT9Y,30,4,70,150,0,6,2,0,44000,1.0,70,1.0,1.0,1.0,3.0,,0,1,0,0,0,1,0
A16KDMZ7CEDHNV,50,4,65,240,1,240,1,3,65000,0.0,0,1.0,1.0,1.0,5.0,1.0,0,0,0,200,0,4,0
A17GH7I35D6K03,26,2,72,150,0,24,5,0,25000,0.0,,1.0,1.0,1.0,1.0,,2,0,2,0,0,1,1
A19F72FI7KBTAT,34,4,66,175,1,36,5,2,63000,1.0,0,6.0,1.0,5.0,2.0,,0,1,0,0,0,5,2
A1BEYZ1LAFOJ2C,35,2,69,140,0,36,4,1,52000,0.0,,7.0,5.0,1.0,3.0,,2,0,2,500,2,2,0
A1DABMXVWWL0TR,40,3,66,140,0,180,3,1,40000,0.0,,1.0,1.0,1.0,1.0,1.0,2,0,1,0,0,2,2
A1ER8K8UM70Y7T,35,4,64,190,0,108,3,2,60000,0.0,,7.0,4.0,1.0,4.0,,1,6,0,0,0,4,0
A1GKTC682SWY23,28,3,69,200,0,48,4,2,65000,0.0,,5.0,1.0,2.0,1.0,1.0,0,0,1,30,0,1,0
A1GMJZUQ8Q7053,23,4,70,150,0,44,2,0,68000,0.0,,3.0,1.0,2.0,2.0,,0,1,0,0,1,0,0
A1JVO7FLPATHUB,24,3,71,160,0,4,2,0,50000,0.0,,1.0,1.0,3.0,1.0,,0,0,0,0,0,0,0
A1M13LVFQNRQ5,20,3,178,150,0,3,1,0,50000,0.0,,1.0,1.0,1.0,1.0,1.0,3,0,5,60,0,0,0
A1ME089VLGOBBI,26,4,75,190,0,12,2,0,25000,1.0,90,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
A1PT63J40GNSZF,25,4,68,155,0,38,4,0,55000,1.0,25,1.0,1.0,4.0,1.0,,0,0,0,400,0,1,0
A20J7F7PKEZZV2,31,3,66,170,0,36,3,1,26000,0.0,,2.0,1.0,1.0,2.0,,0,2,2,0,0,0,0
A22AEEEAJDHREX,43,3,65,160,0,40,4,2,74000,0.0,,1.0,2.0,1.0,2.0,,0,1,0,70,0,1,0
A29PPNC373B8E3,41,4,67,170,0,120,6,0,75000,1.0,50,1.0,1.0,1.0,1.0,1.0,0,3,0,5,0,0,0
