,NBHD,NBHDL,NBHN,NBHT,NBMEANLD,ARTKCLCK,angling_risk_task_always_sunny.keep_coef_of_variation,ARTKSCOR,ARTRCLCK,angling_risk_task_always_sunny.release_coef_of_variation,ARTRSCOR,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDL,BITIHDM,BITIHDS,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,GNGBIAS,GNGDRPIM,HIRSCOR,HLTBETA,HLTPROBW,HLTRSKAV,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,KRBPCTP,KRBPCTPL,KRBPCTPM,KRBPCTPS,LOGCONHD,LOGGBHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MOSSSRT,MOSHD,MOSHN,MOSHT,motor_selective_stop_signal.proactive_control_hddm_drift,motor_selective_stop_signal.reactive_control_hddm_drift,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SHFTLTL,SHFTBETA,SHFTMDCY,SHFTMLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHT,stim_selective_stop_signal.reactive_control_hddm_drift,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,stop_signal.proactive_slowing_hddm_drift,stop_signal.proactive_slowing_hddm_thresh,STRHD,STRHN,STRHT,STRSTRHD,32CSCHD,32HD,32HN,32HT,32TSCHD,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,WRTNEUPR,WRTPOSPR
s005,3.2837474204,-0.8537654481999999,0.2283049764,1.5680001768,1.9,23.2692307692,3.9855508257,580.0,22.2222222222,3.0784938173,375.0,-0.5086195367,-0.8904117404999999,3.786356493,0.3990968483,1.6431643490999999,-0.6278111989999999,0.001017956,0.0017600098000000004,0.0079482422,4.6389191774,0.2980341602,1.2746733101999999,1.0,0.0,16.0833333333,0.2916666667,3,-0.027999999999999997,-2.6666666667000003,16.9583333333,0.7415789474000001,3,-0.0172555431,-2.8244120941000004,0.33946628430000003,1.0081751988,9.1,7.1,3.4063471370999996,0.4597288054,1.846392618,-0.1906819427,0.33333333330000003,-0.9907428203,1.2348603267,0.33223158610000003,4.6556717651,3.1666809794999997,0.22734437629999998,1.6456023613,-0.7717910818000001,3.4406522452,143.0,59.8991114415,-8.5507035957,0.8568707964000001,6,0.7236789465000001,0.0009836497,0.9180419921999999,0.0013364966000000002,0.5833333333,0.0015811388,0.0015811388,0.0038729833,0.6296296296,0.6666666667000001,0.6666666667000001,0.5555555556,-1.0826698922,-0.1334917726,2.4871796374,0.5190016579,2.7949007435000004,-0.2459348293,308.8333333333,4.6784807121,0.265181102,1.7175983989,-1.9214593838999998,-0.4890973783,26.123471733400002,-23.6861105789,0.6566922334,15,1.8485435311000002,0.4145062259,2.2247064488,-0.3455467157,3.9832397001,0.4235032392,2.5987805842,-1.8909533163999999,0.5597014925,0.057892993,0.0022924945,7.878684459,0.8442439861000001,0.2180237403,4.9890036067,0.3220207778,1.7414290466999998,-0.7824863206,275.0,6.7,6.1,365.3333333333,3.5532336161,0.3784145227,1.2749972229000002,-1.089776138,242.0,242.3333333333,6.5635922372,0.3551413895,2.0371373788,0.33333333330000003,-0.2473231371,0.7535732708,4.0003489512,0.2785793211,2.6317512935,-1.0231813015,-0.2517888996,2.9975439839,0.331604069,2.179563587,-0.2095964526,1994.5166666667,4,10,3262.0833333333003,-0.1656782418,-0.0084840798,-0.22383290670000003,0.27256981129999996,0.3393247426
s007,2.4502567309,-0.6914720834999999,0.27091717519999997,1.8010671576,1.95,30.8636363636,4.1437900129,643.0,35.9523809524,10.2638988229,700.0,-0.3406964596,-0.8780237595,4.3671315529,0.3923111938,2.6059483626,-1.0031884301,0.0059243269000000005,0.0086957397,0.012907226599999998,2.317799705,0.3183408155,1.5419410136000002,0.5,0.1666666667,15.916666666700001,-0.008333333299999999,1,0.0013333332999999998,2.5,16.75,0.15,1,-0.0016666667,-0.4166666667,0.1917215995,0.8057487034,8.1,4.3,,,,,0.0833333333,,,,,,,,-1.0816155204,3.2951286846,195.0,59.8991114415,-8.5507035957,0.8568707964000001,6,0.6941823959000001,0.00130253,0.8349777222,0.0010820387,0.6111111111,0.06403124240000001,0.1265219767,0.0636371852,0.1851851852,0.22222222219999999,0.11111111109999999,0.22222222219999999,-1.238589701,-0.4587290768,1.4724337534,0.4381375734,1.7311307225,-0.409068764,,,,,,,,,0.538500946,11,,,,,3.4621582135000004,0.4827191856,2.7176839572,-1.4701667492,0.442408377,0.0257691031,-0.0002524327,16.465464917200002,0.4277884817,0.046872982699999996,3.6431490100999997,0.3221607298,2.0922151842,-0.3874807921,396.5,5.5,4.4,401.1666666667,1.6364584938999998,0.4127439314,1.7353574694,-0.6001813094,356.5,356.8333333333,1.5329597567,0.44229686520000006,1.3342083390000001,0.33333333330000003,0.3239999631,0.1993787351,1.9733429934,0.6307940655000001,1.7426718114000002,-0.5037490873,-0.1932478604,0.8124377845999999,0.1420873885,2.1142168585,-0.4226452972,2120.49,3,8,5704.166666666701,,,,0.44548472899999997,0.41014642689999997
s009,2.5666036897,-0.48417437469999997,0.1050545844,2.3484135537,2.55,48.181818181800004,4.0898988651999995,1010.0,30.555555555599998,1.4234267775,520.0,-0.6382602325,-0.8510818434,4.214446536600001,0.31180461130000003,1.5006234280000001,-1.60288727,0.0001651209,0.0007631911999999999,0.011943359399999999,5.1982007392,0.2289817395,1.6340095496,0.6666666667000001,0.1666666667,7.291666666699999,0.20416666670000003,3,-0.0188333333,-3.7916666667,7.083333333300001,0.1957525084,2,-0.0231973244,-3.9424749163999997,-0.0287443268,0.4001512859,7.7,4.9,1.9084936192,0.3664469015,1.4326998606999999,-0.5469223769,0.8611111111,-0.9663257073999999,0.6847205478,0.0,5.320134937200001,2.7583751677999997,0.1868915075,1.6822143036000001,-0.5402436899,4.8849203713,266.0,25.7627506452,0.9984046206999999,0.3968411315,9,0.6760320662999999,0.0023875259,0.8853013992000001,0.0027768546,0.5833333333,0.0038729833,0.0256124969,0.0038729833,0.4814814815,0.5555555556,0.33333333330000003,0.5555555556,-1.0214622003,0.0218032528,2.1237513840999998,0.31132118940000003,2.1519360541999997,-0.27297376079999996,204.1666666667,3.6420485245,0.3184158203,1.5176824141,-1.7984716484999999,-0.6322567262000001,-0.7816201197,10.4752270244,0.4760700667,13,1.0656772425,0.5184067574,2.0830929085,-0.5546176003000001,3.2239128079,0.3235987749,1.6147919222,-1.3085563021,0.6185819071,0.0942853347,0.0018678579,5.7362652875,0.6168453969000001,0.2653450865,3.3058898983,0.2258420066,1.4945515578,-0.37152766299999995,254.5,6.2,5.3,256.3333333333,4.1425909336,0.23869942940000002,1.538644041,-0.8699895991000001,160.3333333333,231.6666666667,3.8914437238,0.25761013190000004,2.927396672,71.3333333333,-0.018463146899999998,0.4898891265,3.1997952460000003,0.3394700422,1.6768864762,-1.7170286278,-0.2455130736,1.5992058079,0.2984885281,1.8644058996000001,-0.5351743014,1241.8333333333,6,10,5413.0833333333,1.3077408289,-0.5791927331000001,0.30202277320000004,0.1314693092,0.1842408366
s011,2.4738612336,-0.3942336922,0.1307499574,2.0349650694999997,3.0,24.304347826100003,3.6110283426999996,538.0,15.7692307692,1.39449467,394.0,-0.26263604620000003,-0.781732117,3.0155663773000003,0.35678941229999994,1.6301816854,-0.7550349615999999,3.25053e-05,0.00029330830000000004,0.07358105470000001,3.9600753570999996,0.25146456079999996,1.5842890303000001,0.33333333330000003,0.33333333330000003,10.4583333333,0.0208333333,1,-0.0038333333,-2.2916666667,10.4166666667,0.2562656642,3,-0.0083308271,-2.9235588972000004,-0.21701739190000002,0.35044167,9.3,9.0,1.6324318457,0.482688482,2.350641519,-0.5194999241,0.4166666667,-1.1633428332,0.2717350094,0.0,5.320134937200001,2.8098415617000003,0.1002558899,2.81119644,-1.0170844173,3.9312389163,290.0,25.7627506452,0.9984046206999999,0.3968411315,9,0.7266063690000001,0.0013082775,0.9,0.0019703727,0.75,0.25,0.25,0.25,0.0,0.0,0.0,0.0,-1.0452705247,-0.0445178061,2.3889951508,0.38761946939999997,1.7362876078,-0.3128421064,244.1666666667,3.870415304,0.288763735,1.1305119497,-1.431492947,-0.5662658678,-13.7549484408,22.9690967823,0.3168698411,10,1.8586955021,0.6125105162000001,1.8915919683000002,-0.21119916519999998,3.3106993226999997,0.43359878539999996,1.2251235244,-1.9802734658,0.5147783251,0.0545601618,7.56313e-05,9.4391038746,0.5327991817000001,0.23066257329999998,4.0127440202999995,0.3079134287,1.3407660899,-1.3379029325,387.0,6.3,7.9,301.6666666667,2.7311624919,0.3334660512,0.8837349523,-0.7520540756999999,255.0,237.1666666667,3.7053754358999997,0.3067738815,1.2102948577,-17.8333333333,0.15941468109999998,0.0129580123,2.6045199340000003,0.3472340275,1.6382753563,-1.0539267969,-0.1292328446,3.2564748401,0.34269860840000005,1.3600317347,-0.3162419012,1686.3416666667001,19,4,2352.0,-0.9323890442,-0.1916268687,-0.7276952255,0.17973338400000002,0.45109789659999994
s012,3.1435157987999998,-0.4945433703,0.1100768645,2.3445027600999997,3.65,30.0769230769,0.3922322703,750.0,30.5454545455,6.8224229234000004,640.0,-0.4402827486,-0.7550163889,3.8238073018,0.32406857640000003,2.4389442300999997,-0.8282412539,0.0010192831,0.010624939,0.0217265625,2.5921828091,0.2493693812,1.2010229106,1.0,0.0,8.625,0.2791666667,2,-0.0261666667,-4.7916666667,4.4166666667,0.2052600473,1,-0.0134751773,-2.2192671395,-0.181201017,0.9406044403,9.0,6.5,2.1342954583,0.46659089659999997,1.8977797672,-0.5190993556,0.25,-0.144848793,-0.42526627060000005,-0.9092231175,3.5016887022000005,1.6451429377000002,0.154072599,2.0756006487,-1.0816155204,3.2951286846,217.0,10.925098710999999,0.9214174355,0.2565783653,8,0.5907514930000001,0.0013580401,0.970703125,0.0020802717,0.7222222222,0.0256124969,0.0256124969,0.0256124969,0.33333333330000003,0.33333333330000003,0.33333333330000003,0.33333333330000003,-0.6823752354000001,-0.0741505702,1.7124298213999998,0.28983552760000003,2.5797607202,-0.3971730348,348.5,3.0778135091000003,0.29205420330000004,1.1950995507,-1.3511087552,-0.3243076534,-20.5666405171,26.8229064585,0.5749289078,12,1.2158972703,0.43710827799999996,1.7963172666999998,-0.4784795967,2.9880035242000003,0.4093712024,1.7208760635,-1.2470636218,0.3665835411,0.0689772045,0.00028917490000000004,8.2255207299,0.6742025776,0.1496514705,2.5877131058000002,0.25992774690000003,1.7150922638,-0.23447663079999997,296.0,6.5,5.2,295.3333333333,2.8458609618,0.2849560116,1.4653092127,-1.3696246869,297.1666666667,306.0,2.1505520027,0.31024644490000003,1.3856976861,8.8333333333,-0.0573260469,0.0339806537,1.6753507369,0.34026652560000004,1.7539902015000002,-1.0309850195999999,-0.118816789,1.5419026215,0.30903649559999996,1.7262126024000002,-0.11800744099999999,1787.9242424242002,1,11,3688.25,0.8825150781000001,0.203500879,1.5619455955,0.8229371665,0.37785376229999995
s014,2.9075536172000005,-1.0432902158,0.041533176500000005,2.5731307483,1.6,11.76,5.2303600895999995,288.0,12.75,5.0009258402,357.0,-0.3121856414,-0.9183097479,3.6292545022,0.367299961,1.7746507412,-0.3872051065,0.0005559224000000001,0.0647773438,0.0263359375,3.1215324908,0.2739734008,1.513772087,0.33333333330000003,0.6666666667000001,11.333333333299999,0.0916666667,0,-0.0016666667,-1.8333333333,6.166666666699999,0.2503735326,3,-0.0100149413,-2.4951974386,-0.0027181657,0.6590894145,6.9,6.3,1.1658117822,0.3947844689,1.5545740993000001,-0.7219885975,,-0.029075577,-1.2818808368999999,-1.4200399192,2.4800550988,1.2716815851,0.0798095615,2.1143883516,-0.8005189753,3.0881574643,125.0,59.8991114415,-8.5507035957,0.8568707964000001,6,0.6273424149,0.00134547,0.7109272003,0.0018064547,0.4722222222,0.25,0.25,0.06403124240000001,0.0740740741,0.0,0.0,0.22222222219999999,-1.0152849637999999,0.2772684757,1.9578533984,0.4837843496,1.4043102103,-0.2110618616,,,,,,,,,0.2698720297,1,1.4669852008000002,0.3914767019,1.9594493823,-0.2710596194,1.9760018977,0.397298049,1.6130130781,-0.7111778578,0.3656716418,-0.0030216815,-0.0015332032,1.0,0.0,0.1,2.5136734425,0.3041806812,1.6302961557,-0.6363985145000001,349.0,6.5,4.9,389.0,2.1505671022,0.3661918105,1.2882901506,-1.1830691082,321.3333333333,336.3333333333,1.8057263,0.21923964829999998,1.6847932312,15.0,-0.6364339925,-0.3016277909,3.3430627385,0.3943797325,1.8603985630000002,-1.5407654684,-0.09963470449999999,1.4101123334999999,0.3843890108,1.3540720857,-0.1300880412,2717.1904761905,16,5,4030.0833333333003,,,,0.4370257158,0.34132697230000003
s015,2.5958974802,-0.5470934956,0.0368114747,2.3582147653,2.4,41.2352941176,14.5281167558,651.0,35.4666666667,13.3997157042,512.0,-0.7135221566000001,-0.8203658601,4.6937636931,0.3184639797,2.2006288467,-1.9756544978,0.0005244595,0.0148497925,0.43863378909999995,2.4885710296,0.27538831880000003,1.3722237111000002,0.6666666667000001,0.33333333330000003,14.625,-0.0041666667,1,-0.0001666667,-5.375,10.2916666667,0.23235294120000002,2,0.0006176471000000001,-6.3455882353,-0.025931320299999998,0.8086626635999999,9.8,5.8,2.7139440249,0.3798825446,1.7951381343,-0.5443361411000001,,-0.2304494173,0.2413981162,0.0,5.320134937200001,3.3646461602,0.1371687449,3.4612622442000003,-1.3273158840000001,3.310775983,167.0,10.925098710999999,0.9214174355,0.2565783653,8,0.7067575454999999,0.0015690091,0.99375,0.0018166595,0.8055555556,0.06403124240000001,0.1265219767,0.06403124240000001,0.1851851852,0.22222222219999999,0.11111111109999999,0.22222222219999999,-1.2273071845999999,-0.2481839474,2.017295154,0.4029499906,1.6785135300999998,-0.4955899528,,,,,,,6.3976894761,-0.2775020971,0.49681353289999997,13,1.6807065322,0.5551008657000001,1.4255023812999998,-0.4639350698,3.3346451385000004,0.3771915682,1.4336835075999999,-1.52546541,0.45365853659999994,0.044598705599999997,-0.004174328000000001,7.4691279738,0.7524241659,0.2246618563,3.1114374362,0.2755711461,1.2066122334,-0.9097458197,299.5,6.7,5.4,309.1666666667,2.5699752177,0.32445513730000003,1.2331055725,-0.7706916867,261.8333333333,276.0,3.1930240897,0.3691291973,1.2203604370999999,14.166666666700001,-0.2576639181,0.0301700004,2.4048995134999998,0.4468404053,1.6263439396000001,-1.1512726615,-0.2193964303,2.0381106473,0.3190477519,1.4412549233,-0.17250530879999998,1923.8316666667001,9,9,3099.75,-0.4523090957,-0.0489741744,-0.6552395343,0.8784731181000001,0.37370644439999995
s017,2.3528301847999997,-0.6414857503,0.16212608539999998,2.5639456591,2.2,23.6363636364,17.343986070499998,510.0,10.0,0.6593804734000001,230.0,-0.5058045557999999,-0.8284915993,3.9566807561000004,0.40538285009999997,2.5727832997,-0.5176256424,7.809680000000001e-05,0.00028722000000000003,0.0009052734,2.2265680628999998,0.27966258969999996,1.7097679280000002,0.6666666667000001,0.33333333330000003,5.0,0.075,0,-0.0033333333,-0.75,6.5,0.1383333333,1,-0.0122,-0.7833333333,-0.0209501558,0.8359813084000001,8.0,7.4,2.0995942442,0.44364638619999996,2.2020037557,-0.5889982141,0.8333333333,-0.3651554828,-0.06371233030000001,-0.5542288687,2.8827508555000003,1.6200315631,0.23687184379999998,1.9002574484,-0.9575666758,4.0502743994,235.0,59.8991114415,-8.5507035957,0.8568707964000001,6,0.8563354492,0.0019972663,1.0,0.0020916368000000003,0.4722222222,0.0002011893,0.0002011893,0.0006324555,0.8888888889000001,1.0,0.8888888889000001,0.7777777778,-1.2769691264,-0.0010595239,2.2789759623,0.3505600367,2.5012594241999997,-0.45505294079999997,320.0,2.9793246360000003,0.28635698530000003,2.432008749,-0.5328546605,0.0048469413,26.489218095500004,-24.775371480500002,0.5339308097000001,10,1.7824446397,0.5030233125,2.1984889362,-0.5219841915,2.3101354494,0.39515346689999997,1.959144425,-1.3663756384999999,0.46981627299999995,0.0501078383,-0.0027053245,6.7344035592,0.6317974221,0.2167872277,2.5263825502,0.303123101,1.7747260307,-0.5590503667,359.0,5.0,6.4,294.6666666667,3.0023855356999998,0.2981614358,2.1467538475,-0.7826700939,302.3333333333,281.0,3.1559948967,0.231814835,3.2687328139,-21.3333333333,-0.2046907604,-0.4796314463,2.2979640419000003,0.37317359299999997,2.1886689977000002,-0.7541151892,-0.08720953599999999,2.1008956098,0.31343826140000003,2.0211604292,-0.2051297984,1567.3343253967998,5,10,4024.0,0.5694584114,-0.25630325600000003,0.07783284700000001,0.1271461984,0.2921138351
s026,2.2479114264,-0.4070837872,0.1339628955,1.7988103706,2.1,43.0869565217,20.782232454000003,961.0,23.9130434783,4.1221468752999995,528.0,-0.4637156764,-0.6780351459999999,3.4780821181,0.31919070310000003,2.0036875662,-0.35212177840000003,5.602740000000001e-05,0.0017617722,0.025686523399999998,4.1380982719,0.28432955200000004,1.1930332157999999,1.0,0.0,10.0,5.551115123e-17,1,-3.122502257e-17,9.992007222e-16,6.041666666699999,-0.0035714286,0,-0.00014285709999999998,0.0357142857,-0.4397196371,0.7318736961000001,7.5,6.8,2.688874031,0.34077976660000003,2.3558988262000002,-0.2625777419,0.2777777778,-0.5588696236999999,-0.0559046816,0.1976700244,4.9247948884,3.8524597332,0.0471917846,5.938935450700001,-1.1652624446,3.6348828618,175.0,25.7627506452,0.9984046206999999,0.3968411315,9,0.7183802604999999,0.0023475321000000003,0.9771484375,0.0028280387,0.5,0.009797959,0.0256124969,0.0256124969,0.3703703704,0.44444444439999997,0.33333333330000003,0.33333333330000003,-0.9558449155,-0.026868810899999998,2.2736583629,0.41411288909999994,1.9990329586000002,-0.16144236250000002,232.3333333333,3.7225648458999996,0.34556782700000005,1.1984084894,-0.8856614096000001,-0.226182137,,,0.7593680811,14,1.5065238372,0.5268499259,1.8123024464,-0.32772045110000003,3.9797531817,0.41298265939999995,1.6440800712,-2.7963101257,0.3842364532,0.0445900695,0.00030292460000000003,8.6165476985,0.5809996352000001,0.1427304522,2.5129868312,0.2994422879,1.3679738611,-0.9332345598,304.0,7.5,6.3,263.3333333333,2.8285155644,0.3653789466,1.2943178565,-1.0649760443,241.5,288.1666666667,3.6707758642000003,0.3225662841,1.4257475879,46.6666666667,0.1907181323,0.627516661,2.3741016403999997,0.3883132432,1.5622661243,-0.7999982945999999,-0.3817686806,1.9583497061000001,0.3358738208,1.5602736863999997,-0.5408828746000001,1956.6166666667002,7,8,2455.1666666667,-1.5372975841999998,0.4173329951,-0.8250892826,0.2006291395,0.1499208848
s027,2.8802363268,-0.6700497118000001,0.18868589,2.4699268733,2.4,13.2,3.4034296428,315.0,33.125,5.9539902586,500.0,-0.6684094131,-0.7956923958000001,3.7425545682999997,0.37660961950000005,1.6399264887,-1.1686952432,0.001018051,0.0380819092,2.9153642578000003,3.7575807422000005,0.2531997489,1.6564241238,0.6666666667000001,0.1666666667,5.0833333333,0.0416666667,1,-0.019,0.25,8.5833333333,0.1848201136,2,0.0004031138,-1.3611403324,-0.1080603246,1.1609934819,8.3,6.5,2.2726061587,0.301265528,2.0561491984,-0.3135597826,,-0.3599686385,-0.0909627431,-0.3884511935,3.7790742791,2.4382906959,0.0682488693,3.5275168949,-1.0170844173,3.9312389163,155.0,1.2928725743,0.514558072,0.043806033099999996,4,0.6938799858,0.0019379014999999999,0.6649845123,0.0024244932000000003,0.7222222222,0.0256124969,0.0256124969,0.06403124240000001,0.2962962963,0.33333333330000003,0.33333333330000003,0.22222222219999999,-1.4215363558,-0.09163427210000001,2.6606048429,0.4286822910000001,1.5707530619,-0.2981941704,236.1666666667,3.9576985172000003,0.2114840248,2.7565069847,-1.5053473667,-0.3350767663,,,0.3102803725,9,1.6109145563,0.4142214668,2.4951995943000003,-0.3040450101,2.0656400042,0.3912838599,1.7350192225999999,-1.1711403173000001,,,,,,,3.2038727387,0.25719753230000003,1.8546435956,-0.4119328276,278.5,6.2,6.6,214.3333333333,3.3441034145999997,0.17582601329999997,2.5300278215,-0.5179793443999999,168.0,201.5,3.7577666813999997,0.2258327946,2.3229538013999997,33.5,-0.501225774,0.5733029017,2.6554696107,0.296409396,1.7484156242000002,-0.5606069252,-0.196252851,2.3863098003,0.298447994,1.7289315999,-0.46619217259999995,1350.6296296296,23,5,2417.5833333333,,,,0.1688114436,0.1809482422
