,NBHD,NBHDL,NBHN,NBHT,adaptive_n_back.mean_load.logTr,ARTKCLCK,angling_risk_task_always_sunny.keep_coef_of_variation,ARTRCLCK,angling_risk_task_always_sunny.release_coef_of_variation.logTr,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,attention_network_task.hddm_thresh.logTr,ANTORTHD,BITIHDLL,BITIHDML,BITIHDSL,CRTHD,choice_reaction_time.hddm_non_decision.logTr,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,columbia_card_task_cold.loss_sensitivity.ReflogTr,CCTCPROB,CCTHAVCC,columbia_card_task_hot.gain_sensitivity.logTr,CCTHINFO,CCTHLOSS,CCTHPROB,dietary_decision.health_sensitivity.logTr,dietary_decision.taste_sensitivity.ReflogTr,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,dot_pattern_expectancy.hddm_drift.logTr,DPEHN,dot_pattern_expectancy.hddm_thresh.logTr,GNGBIAS,GNGDRPIM,HIRSCOR,holt_laury_survey.beta.ReflogTr,holt_laury_survey.prob_weighting.ReflogTr,HLTRSKAV,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,LOGCONHD,LOGGBHD,LOGHD,local_global_letter.hddm_non_decision.ReflogTr,LOGHT,LOGSWCHD,MOSSSRT,MOSHD,motor_selective_stop_signal.hddm_non_decision.ReflogTr,MOSHT,motor_selective_stop_signal.proactive_control_hddm_drift,motor_selective_stop_signal.reactive_control_hddm_drift,PRSPLB,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,shape_matching.hddm_non_decision.ReflogTr,SMHT,SMSIHD,SHFTAC,SHFTLR,SHFTLTL,shift_task.model_beta.logTr,shift_task.model_decay.ReflogTr,SHFTMLR,SIMHD,simon.hddm_non_decision.ReflogTr,SIMHT,SIMSIMHD,simple_reaction_time.avg_rt.logTr,SPSFORWD,SPSREVRS,stim_selective_stop_signal.SSRT.logTr,STSHD,STSHN,STSHTL,stim_selective_stop_signal.reactive_control_hddm_drift,SSSSRTHI,stop_signal.SSRT_low.logTr,SSHD,SSHN,stop_signal.hddm_thresh.logTr,stop_signal.proactive_SSRT_speeding.logTr,stop_signal.proactive_slowing_hddm_drift,stop_signal.proactive_slowing_hddm_thresh,STRHD,STRHN,stroop.hddm_thresh.logTr,STRSTRHD,32CSCHD,32HD,32HN,32HT,32TSCHD,tower_of_london.avg_move_time.logTr,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,WRTNEUPR,writing_task.positive_probability.logTr
s005,3.2837474204,-0.8537654481999999,0.2283049764,1.5680001768,0.6418538861723947,23.2692307692,3.9855508257,22.2222222222,1.4057277578323766,-0.5086195367,-0.8904117404999999,3.786356493,0.3990968483,0.4966238639368337,-0.6278111989999999,-6.889958583791832,-6.342435901765762,-4.834804481681874,4.6389191774,-1.2105471675028017,1.2746733101999999,1.0,0.0,16.0833333333,0.2916666667,3.0,0.009700844172368269,-2.6666666667000003,16.9583333333,0.2660424685179868,3.0,-0.0172555431,-2.8244120941000004,0.6242329070198086,0.2521659011083422,9.1,7.1,3.4063471370999996,0.4597288054,1.846392618,-0.1906819427,0.33333333330000003,-0.9907428203,1.2348603267,0.33223158610000003,4.6556717651,1.1526840297702765,0.22734437629999998,0.4981064942729362,-0.7717910818000001,3.4406522452,143.0,3.6506150697099113,2.387934993082531,0.8568707964000001,6.0,0.7236789465000001,0.0009836497,0.9180419921999999,0.0013364966000000002,0.5833333333,-6.449609932071973,-1.0826698922,-0.1334917726,2.4871796374,0.11456583980497732,2.7949007435000004,-0.2459348293,308.8333333333,4.6784807121,0.14431318738159765,1.7175983989,-1.9214593838999998,-0.4890973783,26.123471733400002,0.6566922334,15.0,1.8485435311000002,0.4145062259,2.2247064488,-0.3455467157,3.9832397001,0.12113986940259182,2.5987805842,-1.8909533163999999,0.5597014925,0.057892993,0.0022924945,2.064160943105204,0.14336608148200694,0.2180237403,4.9890036067,0.07972440120402231,1.7414290466999998,-0.7824863206,5.616771097666573,6.7,6.1,5.90081017883976,3.5532336161,0.3784145227,0.2429440004903703,-1.089776138,242.0,5.490314188865272,3.7413949527640016,0.3551413895,0.711545576698609,4.712528704308292,-0.2473231371,0.7535732708,4.0003489512,0.2785793211,0.9676495156472288,-1.0231813015,-0.2517888996,2.9975439839,0.331604069,2.179563587,-0.2095964526,7.598157027623758,4.0,10.0,3262.0833333333003,-0.1656782418,-0.0084840798,-0.22383290670000003,0.27256981129999996,-1.0807976873631937
s007,2.4502567309,-0.6914720834999999,0.27091717519999997,1.8010671576,0.6678293725756556,30.8636363636,4.1437900129,35.9523809524,2.4216028170333708,-0.3406964596,-0.8780237595,4.3671315529,0.3923111938,0.957796663694365,-1.0031884301,-5.128688201789822,-4.744922062913907,-4.3499679229184345,2.317799705,-1.1446327232572542,1.5419410136000002,0.5,0.1666666667,15.916666666700001,-0.008333333299999999,1.0,0.003161663370806745,2.5,16.75,0.2854039183532086,1.0,-0.0016666667,-0.4166666667,0.5417826929086144,0.3982632355015979,8.1,4.3,1.4558278507799998,0.440112679528,1.8968479274679997,-0.4639502647419999,0.0833333333,-1.6362812322059996,-0.558827529697,-0.3378487749530001,3.3216297766850005,0.6836957173742627,0.15475452368199996,0.7594088647554412,-1.0816155204,3.2951286846,195.0,3.6506150697099113,2.387934993082531,0.8568707964000001,6.0,0.6941823959000001,0.00130253,0.8349777222,0.0010820387,0.6111111111,-2.7483841522350163,-1.238589701,-0.4587290768,1.4724337534,0.18419526280996384,1.7311307225,-0.409068764,352.833333333335,3.066919529218,0.09436136771085957,1.8047786636420005,-0.9386008074859994,-0.3022537404430001,6.262837002668996,0.538500946,11.0,1.3399883312009997,0.5707399055189999,1.9516457660140003,-0.321436502548,3.4621582135000004,0.0672537413698094,2.7176839572,-1.4701667492,0.442408377,0.0257691031,-0.0002524327,2.8012651521257013,0.4514626415912083,0.046872982699999996,3.6431490100999997,0.07959516526444779,2.0922151842,-0.3874807921,5.982676041074902,5.5,4.4,5.9943769685551,1.6364584938999998,0.4127439314,0.5512134264129954,-0.6001813094,356.5,5.877268819361534,1.5329597567,0.44229686520000006,0.2883381114611238,4.712528704308292,0.3239999631,0.1993787351,1.9733429934,0.3781349956840001,0.5554194593083298,-0.5037490873,-0.1932478604,0.8124377845999999,0.1420873885,2.1142168585,-0.4226452972,7.6594024730346275,3.0,8.0,5704.166666666701,-0.5122438109359998,-0.01801890977600001,-0.43123638922899976,0.44548472899999997,-0.8912410442621699
s009,2.5666036897,-0.48417437469999997,0.1050545844,2.3484135537,0.9360933591703348,48.181818181800004,4.0898988651999995,30.555555555599998,0.8851825623127108,-0.6382602325,-0.8510818434,4.214446536600001,0.31180461130000003,0.4058806404293167,-1.60288727,-8.708832625104534,-7.1780019682949945,-4.427579853807159,5.1982007392,-1.4741130187819866,1.6340095496,0.6666666667000001,0.1666666667,7.291666666699999,0.20416666670000003,3.0,0.011102725190663344,-3.7916666667,7.083333333300001,0.31921835530076226,2.0,-0.006852514272,-3.9424749163999997,0.4045331923428591,0.6391309273352209,7.7,4.9,1.9084936192,0.3664469015,1.4326998606999999,-0.5469223769,0.8611111111,-0.9663257073999999,0.6847205478,0.0,5.320134937200001,1.0146417990540235,0.1868915075,0.5201109634229025,-0.5402436899,4.8849203713,266.0,4.285442751539002,0.294066055722818,0.3968411315,9.0,0.6760320662999999,0.0023875259,0.8853013992000001,0.0027768546,0.5833333333,-5.553730190361736,-1.0214622003,0.0218032528,2.1237513840999998,0.28447714640850985,2.1519360541999997,-0.27297376079999996,204.1666666667,3.6420485245,0.09713682138741392,1.5176824141,-1.7984716484999999,-0.6322567262000001,-0.7816201197,0.4760700667,13.0,1.0656772425,0.5184067574,2.0830929085,-0.5546176003000001,3.2239128079,0.20594632122598985,1.6147919222,-1.3085563021,0.6185819071,0.0942853347,0.0018678579,1.7468083517919974,0.3232066560907221,0.2653450865,3.3058898983,0.16480853464031198,1.4945515578,-0.37152766299999995,5.539300835990577,6.2,5.3,5.546478680837405,4.1425909336,0.23869942940000002,0.4309015357068696,-0.8699895991000001,160.3333333333,5.445299556896826,3.8914437238,0.25761013190000004,1.0741135202220813,5.205836513753688,-0.018463146899999998,0.4898891265,3.1997952460000003,0.3394700422,0.5169387859760474,-1.7170286278,-0.2455130736,1.5992058079,0.2984885281,1.8644058996000001,-0.5351743014,7.124344061325647,6.0,10.0,5413.0833333333,1.3077408289,-0.5791927331000001,0.30202277320000004,0.1314693092,-1.69151148266369
s011,2.4738612336,-0.3942336922,0.1307499574,2.0349650694999997,1.0986122886681098,24.304347826100003,3.6110283426999996,15.7692307692,0.8731722148636166,-0.26263604620000003,-0.781732117,3.0155663773000003,0.35678941229999994,0.4886914720426666,-0.7550349615999999,-10.334107405001099,-8.134286283710965,-2.6093676953500724,3.9600753570999996,-1.3804532107032856,1.5842890303000001,0.33333333330000003,0.33333333330000003,10.4583333333,0.0208333333,1.0,0.008298802781637209,-2.2916666667,10.4166666667,0.36225478887907975,3.0,-0.0083308271,-2.9235588972000004,0.2702787943996957,0.6650270042222359,9.3,9.0,1.6324318457,0.482688482,2.350641519,-0.5194999241,0.4166666667,-1.1633428332,0.2717350094,0.0,5.320134937200001,1.0331280980193769,0.1002558899,1.0336101720867747,-1.0170844173,3.9312389163,290.0,4.285442751539002,0.294066055722818,0.3968411315,9.0,0.7266063690000001,0.0013082775,0.9,0.0019703727,0.75,-1.3862943611198906,-1.0452705247,-0.0445178061,2.3889951508,0.2253560291790251,1.7362876078,-0.3128421064,244.1666666667,3.870415304,0.12368843313321858,1.1305119497,-1.431492947,-0.5662658678,-13.7549484408,0.3168698411,10.0,1.8586955021,0.6125105162000001,1.8915919683000002,-0.21119916519999998,3.3106993226999997,0.11215588829579276,1.2251235244,-1.9802734658,0.5147783251,0.0545601618,7.56313e-05,2.244861047113275,0.3822626969908236,0.23066257329999998,4.0127440202999995,0.09266660254011293,1.3407660899,-1.3379029325,5.958424693029783,6.3,7.9,5.709322655031928,2.7311624919,0.3334660512,-0.1235980890167416,-0.7520540756999999,255.0,5.468763128861939,3.7053754358999997,0.3067738815,0.1908640139721012,4.5343900039274025,0.15941468109999998,0.0129580123,2.6045199340000003,0.3472340275,0.4936440764920388,-1.0539267969,-0.1292328446,3.2564748401,0.34269860840000005,1.3600317347,-0.3162419012,7.4303167672997175,19.0,4.0,2352.0,-0.9323890442,-0.1916268687,-0.7276952255,0.17973338400000002,-0.7960708974028653
s012,3.1435157987999998,-0.4945433703,0.1100768645,2.3445027600999997,1.2947271675943999,30.0769230769,0.3922322703,30.5454545455,2.056994343319644,-0.4402827486,-0.7550163889,3.8238073018,0.32406857640000003,0.8915652530846959,-0.8282412539,-6.888655741933242,-4.5445513053646085,-3.8292196886677887,2.5921828091,-1.3888200231206698,1.2010229106,1.0,0.0,8.625,0.2791666667,2.0,0.010905765353835492,-4.7916666667,4.4166666667,0.3261038842606561,1.0,-0.0134751773,-2.2192671395,0.2972457597313213,0.3033439778971572,9.0,6.5,2.1342954583,0.46659089659999997,1.8977797672,-0.5190993556,0.25,-0.144848793,-0.42526627060000005,-0.9092231175,3.5016887022000005,0.49782727266127,0.154072599,0.7302505810475328,-1.0816155204,3.2951286846,217.0,4.471322750974863,0.3498535379707482,0.2565783653,8.0,0.5907514930000001,0.0013580401,0.970703125,0.0020802717,0.7222222222,-3.6646748864517766,-0.6823752354000001,-0.0741505702,1.7124298213999998,0.30051384262198755,2.5797607202,-0.3971730348,348.5,3.0778135091000003,0.12077655859233548,1.1950995507,-1.3511087552,-0.3243076534,-20.5666405171,0.5749289078,12.0,1.2158972703,0.43710827799999996,1.7963172666999998,-0.4784795967,2.9880035242000003,0.13358185911356807,1.7208760635,-1.2470636218,0.3665835411,0.0689772045,0.00028917490000000004,2.107241605273542,0.2808037055813759,0.1496514705,2.5877131058000002,0.13547588957684853,1.7150922638,-0.23447663079999997,5.690359454324059,6.5,5.2,5.688104661936857,2.8458609618,0.2849560116,0.38206628688701055,-1.3696246869,297.1666666667,5.723585101952382,2.1505520027,0.31024644490000003,0.3262037572791809,4.786101888492714,-0.0573260469,0.0339806537,1.6753507369,0.34026652560000004,0.5618933075603852,-1.0309850195999999,-0.118816789,1.5419026215,0.30903649559999996,1.7262126024000002,-0.11800744099999999,7.488810584826988,1.0,11.0,3688.25,0.8825150781000001,0.203500879,1.5619455955,0.8229371665,-0.9732480304391364
s014,2.9075536172000005,-1.0432902158,0.041533176500000005,2.5731307483,0.4700036292457356,11.76,5.2303600895999995,12.75,1.7919137640240008,-0.3121856414,-0.9183097479,3.6292545022,0.367299961,0.5736036380453774,-0.3872051065,-7.494881841799582,-2.736799369475726,-3.6368208276676937,3.1215324908,-1.2947242546786428,1.513772087,0.33333333330000003,0.6666666667000001,11.333333333299999,0.0916666667,0.0,0.006147730619363132,-1.8333333333,6.166666666699999,0.3581448123027558,3.0,-0.0100149413,-2.4951974386,0.4217510615016967,0.4921902306308932,6.9,6.3,1.1658117822,0.3947844689,1.5545740993000001,-0.7219885975,0.35555555555900026,-0.029075577,-1.2818808368999999,-1.4200399192,2.4800550988,0.24034010740185746,0.0798095615,0.7487655752121772,-0.8005189753,3.0881574643,125.0,3.6506150697099113,2.387934993082531,0.8568707964000001,6.0,0.6273424149,0.00134547,0.7109272003,0.0018064547,0.4722222222,-1.3862943611198906,-1.0152849637999999,0.2772684757,1.9578533984,0.1454879338990162,1.4043102103,-0.2110618616,352.65166666667307,3.1759941130009985,0.08699229605809349,1.6565707807069996,-0.7589520987970001,-0.3106839205110001,1.0000667405129997,0.2698720297,1.0,1.4669852008000002,0.3914767019,1.9594493823,-0.2710596194,1.9760018977,0.14408993153859542,1.6130130781,-0.7111778578,0.3656716418,-0.0030216815,-0.0015332032,1.8159198486549797,0.692344970975862,0.1,2.5136734425,0.09606321692795923,1.6302961557,-0.6363985145000001,5.855071922202427,6.5,4.9,5.963579343618447,2.1505671022,0.3661918105,0.25331587451715765,-1.1830691082,321.3333333333,5.8181027316854,1.8057263,0.21923964829999998,0.5216428448206527,4.836281906951479,-0.6364339925,-0.3016277909,3.3430627385,0.3943797325,0.620790745952972,-1.5407654684,-0.09963470449999999,1.4101123334999999,0.3843890108,1.3540720857,-0.1300880412,7.907353712302355,16.0,5.0,4030.0833333333003,-0.4114889287410001,0.10280052617500003,-0.271324773391,0.4370257158,-1.0749143980642868
s015,2.5958974802,-0.5470934956,0.0368114747,2.3582147653,0.8754687373538999,41.2352941176,14.5281167558,35.4666666667,2.6672084636231745,-0.7135221566000001,-0.8203658601,4.6937636931,0.3184639797,0.7887431589290602,-1.9756544978,-7.55314234950583,-4.209769386895027,-0.8240904074339728,2.4885710296,-1.2895731089829288,1.3722237111000002,0.6666666667000001,0.33333333330000003,14.625,-0.0041666667,1.0,0.004655811569372459,-5.375,10.2916666667,0.3454689255615662,2.0,0.0006176471000000001,-6.3455882353,0.4064085189561743,0.3963046374193108,9.8,5.8,2.7139440249,0.3798825446,1.7951381343,-0.5443361411000001,0.3244444444450001,-0.2304494173,0.2413981162,0.0,5.320134937200001,1.2133228045811009,0.1371687449,1.2416333330049032,-1.3273158840000001,3.310775983,167.0,4.471322750974863,0.3498535379707482,0.2565783653,8.0,0.7067575454999999,0.0015690091,0.99375,0.0018166595,0.8055555556,-2.7483841522350163,-1.2273071845999999,-0.2481839474,2.017295154,0.21304322455461824,1.6785135300999998,-0.4955899528,313.33833333332893,3.7021716442069983,0.10785269045897942,1.6819468821529997,-1.111900575332,-0.3820627112380002,6.3976894761,0.49681353289999997,13.0,1.6807065322,0.5551008657000001,1.4255023812999998,-0.4639350698,3.3346451385000004,0.16134853117378672,1.4336835075999999,-1.52546541,0.45365853659999994,0.044598705599999997,-0.004174328000000001,2.010778255221985,0.2199159949934294,0.2246618563,3.1114374362,0.12172033024030678,1.2066122334,-0.9097458197,5.702114417555504,6.7,5.4,5.7338805058135875,2.5699752177,0.32445513730000003,0.2095358429823444,-0.7706916867,261.8333333333,5.62040086571715,3.1930240897,0.3691291973,0.19914625535719135,4.829646182536347,-0.2576639181,0.0301700004,2.4048995134999998,0.4468404053,0.4863345137266164,-1.1512726615,-0.2193964303,2.0381106473,0.3190477519,1.4412549233,-0.17250530879999998,7.5620741360605885,9.0,9.0,3099.75,-0.4523090957,-0.0489741744,-0.6552395343,0.8784731181000001,-0.9842846977905804
s017,2.3528301847999997,-0.6414857503,0.16212608539999998,2.5639456591,0.7884573603642703,23.6363636364,17.343986070499998,10.0,0.5064443239135366,-0.5058045557999999,-0.8284915993,3.9566807561000004,0.40538285009999997,0.9449883088822516,-0.5176256424,-9.457561475069449,-8.1552620853318,-7.007273560439684,2.2265680628999998,-1.2741714392392405,1.7097679280000002,0.6666666667000001,0.33333333330000003,5.0,0.075,0.0,0.007802812029946614,-0.75,6.5,0.2765952793589646,1.0,-0.0122,-0.7833333333,0.40972067266836615,0.37775359517194,8.0,7.4,2.0995942442,0.44364638619999996,2.2020037557,-0.5889982141,0.8333333333,-0.3651554828,-0.06371233030000001,-0.5542288687,2.8827508555000003,0.4824456324495555,0.23687184379999998,0.6419893761511078,-0.9575666758,4.0502743994,235.0,3.6506150697099113,2.387934993082531,0.8568707964000001,6.0,0.8563354492,0.0019972663,1.0,0.0020916368000000003,0.4722222222,-8.511264302067357,-1.2769691264,-0.0010595239,2.2789759623,0.2545089472453164,2.5012594241999997,-0.45505294079999997,320.0,2.9793246360000003,0.12581291151456786,2.432008749,-0.5328546605,0.0048469413,26.489218095500004,0.5339308097000001,10.0,1.7824446397,0.5030233125,2.1984889362,-0.5219841915,2.3101354494,0.14594501018839154,1.959144425,-1.3663756384999999,0.46981627299999995,0.0501078383,-0.0027053245,1.9072292475443648,0.3123250268092028,0.2167872277,2.5263825502,0.097023468559328,1.7747260307,-0.5590503667,5.883322388488279,5.0,6.4,5.685844773969648,3.0023855356999998,0.2981614358,0.7639568628129408,-0.7826700939,302.3333333333,5.638354669333745,3.1559948967,0.231814835,1.1844023911193775,4.496099090934101,-0.2046907604,-0.4796314463,2.2979640419000003,0.37317359299999997,0.7832935954579369,-0.7541151892,-0.08720953599999999,2.1008956098,0.31343826140000003,2.0211604292,-0.2051297984,7.3571315733943585,5.0,10.0,4024.0,0.5694584114,-0.25630325600000003,0.07783284700000001,0.1271461984,-1.2306117064512774
s026,2.2479114264,-0.4070837872,0.1339628955,1.7988103706,0.7419373447293773,43.0869565217,20.782232454000003,23.9130434783,1.6335736627469133,-0.4637156764,-0.6780351459999999,3.4780821181,0.31919070310000003,0.6949892659783362,-0.35212177840000003,-9.789669701176065,-6.341435044729682,-3.661788805939889,4.1380982719,-1.2576213191918997,1.1930332157999999,1.0,0.0,10.0,5.551115123e-17,1.0,0.004489905272852001,9.992007222e-16,6.041666666699999,0.16273755540239013,0.0,-0.00014285709999999998,0.0357142857,0.0839986883303947,0.44667806964685336,7.5,6.8,2.688874031,0.34077976660000003,2.3558988262000002,-0.2625777419,0.2777777778,-0.5588696236999999,-0.0559046816,0.1976700244,4.9247948884,1.3487118360355113,0.0471917846,1.7815299002593863,-1.1652624446,3.6348828618,175.0,4.285442751539002,0.294066055722818,0.3968411315,9.0,0.7183802604999999,0.0023475321000000003,0.9771484375,0.0028280387,0.5,-4.625581180301964,-0.9558449155,-0.026868810899999998,2.2736583629,0.20398131419326415,1.9990329586000002,-0.16144236250000002,232.3333333333,3.7225648458999996,0.07218961606330504,1.1984084894,-0.8856614096000001,-0.226182137,3.7456970858999985,0.7593680811,14.0,1.5065238372,0.5268499259,1.8123024464,-0.32772045110000003,3.9797531817,0.13041699079341193,1.6440800712,-2.7963101257,0.3842364532,0.0445900695,0.00030292460000000003,2.153684505440531,0.3488218008721445,0.1427304522,2.5129868312,0.10035836723755684,1.3679738611,-0.9332345598,5.717027701406223,7.5,6.3,5.573420656792831,2.8285155644,0.3653789466,0.2579838046316148,-1.0649760443,241.5,5.663539016455351,3.6707758642000003,0.3225662841,0.3546962992417528,5.060483099824035,0.1907181323,0.627516661,2.3741016403999997,0.3883132432,0.4461374109771833,-0.7999982945999999,-0.3817686806,1.9583497061000001,0.3358738208,1.5602736863999997,-0.5408828746000001,7.578972070164857,7.0,8.0,2455.1666666667,-1.5372975841999998,0.4173329951,-0.8250892826,0.2006291395,-1.89764755869514
s027,2.8802363268,-0.6700497118000001,0.18868589,2.4699268733,0.8754687373538999,13.2,3.4034296428,33.125,1.939315632750636,-0.6684094131,-0.7956923958000001,3.7425545682999997,0.37660961950000005,0.4946514168680686,-1.1686952432,-6.889865263876853,-3.2680159337611467,1.069994771789799,3.7575807422000005,-1.3735765804187687,1.6564241238,0.6666666667000001,0.1666666667,5.0833333333,0.0416666667,1.0,0.009069830016468449,0.25,8.5833333333,0.3112418720663822,2.0,0.0004031138,-1.3611403324,0.3501544776175359,0.12574346241844114,8.3,6.5,2.2726061587,0.301265528,2.0561491984,-0.3135597826,0.4127777777800003,-0.3599686385,-0.0909627431,-0.3884511935,3.7790742791,0.8912972593489719,0.0682488693,1.2605941942159988,-1.0170844173,3.9312389163,155.0,4.575788509069061,0.6019739301410078,0.043806033099999996,4.0,0.6938799858,0.0019379014999999999,0.6649845123,0.0024244932000000003,0.7222222222,-3.6646748864517766,-1.4215363558,-0.09163427210000001,2.6606048429,0.19202914977282692,1.5707530619,-0.2981941704,236.1666666667,3.9576985172000003,0.18974637242118908,2.7565069847,-1.5053473667,-0.3350767663,3.3976760283609995,0.3102803725,9.0,1.6109145563,0.4142214668,2.4951995943000003,-0.3040450101,2.0656400042,0.14928356559084965,1.7350192225999999,-1.1711403173000001,0.4684304928330001,0.05621335611200002,0.000246938319,1.947048935379171,0.35054014640721365,0.222421241752,3.2038727387,0.13785734865703875,1.8546435956,-0.4119328276,5.629418059367339,6.2,6.6,5.3675324355693546,3.3441034145999997,0.17582601329999997,0.9282302993192824,-0.5179793443999999,168.0,5.305789381386738,3.7577666813999997,0.2258327946,0.8428395661174186,4.973279507552487,-0.501225774,0.5733029017,2.6554696107,0.296409396,0.5587100202516972,-0.5606069252,-0.196252851,2.3863098003,0.298447994,1.7289315999,-0.46619217259999995,7.208326155023606,23.0,5.0,2417.5833333333,-0.08665275605600004,-0.074257884996,-0.09509850137899993,0.1688114436,-1.709544243305284
